ID,Fwy,Dir,District,County,City,State_PM,Abs_PM,Latitude,Longitude,Length,Type,Lanes
771421,23,N,7,111,78582.0,R10.16,18.762999999999998,34.266777000000005,-118.851005,0.34,ML,3
771431,23,N,7,111,49138.0,R10.8,19.403,34.274437,-118.857161,0.625,ML,3
771432,23,S,7,111,49138.0,R10.8,19.403,34.274194,-118.857449,0.525,ML,3
771463,23,S,7,111,78582.0,R10.16,18.762999999999998,34.266546999999996,-118.85133400000001,0.44,ML,3
771475,23,S,7,111,78582.0,R9.92,18.523,34.263542,-118.848753,0.33,ML,3
771488,23,S,7,111,78582.0,R8.21,16.813,34.239756,-118.84081299999998,0.55,ML,3
771499,23,S,7,111,78582.0,R7.9,16.503,34.235225,-118.842692,0.51,ML,3
771509,23,S,7,111,78582.0,R7.19,15.793,34.225282,-118.84831499999999,0.445,ML,3
771521,23,S,7,111,78582.0,R7.01,15.613,34.222667,-118.84948100000001,0.36,ML,3
771531,23,S,7,111,78582.0,R6.05,14.652999999999999,34.207941,-118.84983799999999,0.3,ML,3
771542,23,S,7,111,78582.0,R5.87,14.472999999999999,34.205523,-118.851449,0.22,ML,3
771553,23,S,7,111,78582.0,R5.09,13.693,34.195845,-118.85983,0.36,ML,3
771565,23,S,7,111,78582.0,R4.89,13.493,34.193023,-118.86136200000001,0.435,ML,3
771577,23,S,7,111,78582.0,R4.22,12.823,34.182961999999996,-118.860859,0.485,ML,4
771578,23,N,7,111,78582.0,R4.22,12.823,34.184067,-118.860802,0.565,ML,4
771603,210,E,7,37,66070.0,R45.66,45.949,34.11972,-117.80381200000001,1.15,ML,3
771618,210,W,7,37,30014.0,R45.31,45.599,34.119932,-117.809917,0.88,ML,4
771667,110,N,7,37,44000.0,25.08,25.01,34.075092,-118.232059,0.35,ML,4
771673,110,N,7,37,44000.0,25.4,25.33,34.078403,-118.228171,0.46,ML,4
771690,118,E,7,37,44000.0,R10.8,44.331,34.265724,-118.454632,0.65,ML,6
771691,118,W,7,37,44000.0,R10.8,44.331,34.266037,-118.45423400000001,0.5,ML,6
771706,118,E,7,37,44000.0,R3.9,37.431,34.273315000000004,-118.56897,0.5,ML,4
771721,118,W,7,37,44000.0,R3.86,37.391,34.273598,-118.56965,0.5,ML,4
771767,405,N,7,37,44000.0,46.2,69.972,34.256535,-118.472044,1.12,ML,6
771807,405,S,7,37,44000.0,45.7,69.472,34.249256,-118.47249199999999,0.615,ML,4
771808,405,N,7,37,44000.0,45.7,69.472,34.249268,-118.47223400000001,0.665,ML,4
771825,405,S,7,37,43000.0,.11,24.058000000000003,33.786941999999996,-118.09468600000001,0.303,ML,4
771826,405,N,7,37,43000.0,.11,24.058000000000003,33.787054,-118.094505,0.303,ML,4
771845,405,N,7,37,43000.0,4.21,28.158,33.809267,-118.15716599999999,0.375,ML,5
771846,405,S,7,37,43000.0,4.21,28.158,33.809074,-118.15733600000002,0.325,ML,5
771863,405,N,7,37,43000.0,6.78,30.552,33.821489,-118.195048,0.33,ML,6
771864,405,S,7,37,43000.0,6.78,30.552,33.821302,-118.195219,0.4,ML,5
771877,405,N,7,37,43000.0,7.63,31.401999999999997,33.826586999999996,-118.208548,0.4,ML,3
771879,405,S,7,37,43000.0,7.63,31.401999999999997,33.826384000000004,-118.20858,0.415,ML,3
771897,405,S,7,37,43000.0,8.45,32.222,33.82515,-118.222222,0.29,ML,5
771898,405,N,7,37,43000.0,8.45,32.222,33.825373,-118.222223,0.335,ML,5
